Date,Open,High,Low,Close,Adj Close,Volume
2019-03-04,116.550003,116.930000,115.500000,116.169998,113.737480,4383100
2019-03-05,115.980003,116.820000,115.660004,116.029999,113.600418,3785400
2019-03-06,115.779999,116.830002,115.580002,116.660004,114.217216,4770700
2019-03-07,116.209999,117.330002,115.699997,116.099998,113.668945,4858300
2019-03-08,115.830002,116.260002,114.260002,115.230003,112.817177,5003300
2019-03-11,115.300003,116.709999,114.980003,116.589996,114.148689,4821600
2019-03-12,116.750000,117.209999,116.010002,116.570000,114.129105,4356400
2019-03-13,116.879997,117.559998,116.459999,116.580002,114.138901,5968600
2019-03-14,116.860001,116.980003,115.449997,115.500000,113.081512,8986600
2019-03-15,115.680000,116.529999,115.370003,115.660004,113.238167,18194200
2019-03-18,116.169998,117.389999,116.050003,117.269997,114.814438,9476000
2019-03-19,117.360001,118.750000,117.250000,118.089996,115.617271,6751700
2019-03-20,118.070000,119.480003,117.349998,118.320000,115.842461,5733500
2019-03-21,118.010002,119.669998,118.010002,119.440002,116.939011,4305600
2019-03-22,119.500000,121.290001,119.449997,120.720001,118.192215,6668100
2019-03-25,120.260002,121.290001,120.080002,120.849998,118.319489,4275400
2019-03-26,121.459999,122.160004,121.260002,122.019997,119.464981,4583000
2019-03-27,122.459999,123.190002,121.190002,121.889999,119.337708,5318500
2019-03-28,121.889999,122.470001,121.589996,121.839996,119.288757,3694700
2019-03-29,122.290001,122.760002,121.269997,122.550003,119.983894,5758800
2019-04-01,122.589996,122.889999,121.589996,122.000000,119.445412,5025700
2019-04-02,121.900002,122.260002,121.559998,121.680000,119.132111,3242600
2019-04-03,121.680000,122.230003,120.739998,121.559998,119.014618,4534400
2019-04-04,121.809998,122.129997,121.169998,121.470001,118.926506,3022500
2019-04-05,121.349998,121.669998,120.820000,121.620003,119.073364,3971500
2019-04-08,121.720001,122.040001,121.209999,122.000000,119.445412,3140100
2019-04-09,121.739998,122.199997,120.849998,122.169998,119.611847,3864400
2019-04-10,122.349998,122.699997,121.660004,122.040001,119.484566,2681100
2019-04-11,122.360001,122.750000,121.169998,121.669998,119.122322,3399700
2019-04-12,121.529999,122.330002,121.150002,122.230003,119.670593,3501100
2019-04-15,122.440002,124.000000,122.360001,123.660004,121.070656,4419800
2019-04-16,123.220001,123.820000,121.889999,122.410004,119.846825,5263700
2019-04-17,125.000000,127.110001,123.839996,127.010002,124.350502,7318200
2019-04-18,128.229996,128.259995,126.730003,127.089996,124.428825,6331200
2019-04-22,126.769997,127.239998,125.879997,126.440002,123.792435,3707000
2019-04-23,126.680000,127.540001,126.120003,127.089996,124.428825,4464100
2019-04-24,127.410004,127.980003,126.669998,126.919998,124.262390,3517200
2019-04-25,125.650002,126.400002,125.180000,126.129997,123.488930,4433700
2019-04-26,126.519997,127.250000,126.120003,126.400002,123.753273,3033800
2019-04-29,126.139999,126.959999,126.019997,126.690002,124.037209,2793400
2019-04-30,127.050003,128.389999,126.339996,128.050003,125.368729,4963600
2019-05-01,127.849998,128.000000,127.010002,127.239998,124.575684,3810800
2019-05-02,127.239998,127.550003,126.169998,126.830002,124.174278,2875900
2019-05-03,127.099998,128.179993,126.919998,127.669998,124.996681,2854900
2019-05-06,127.300003,127.629997,126.760002,127.269997,124.605049,2883900
2019-05-07,126.639999,126.949997,125.180000,125.980003,123.342064,3558900
2019-05-08,125.800003,126.739998,124.949997,126.019997,123.381226,3844700
2019-05-09,125.769997,126.540001,124.849998,126.050003,123.410606,3127200
