Date,Open,High,Low,Close,Adj Close,Volume
2019-03-04,39.700001,41.500000,39.029999,39.250000,37.666031,7524500
2019-03-05,39.279999,39.419998,39.020000,39.279999,37.694820,4866200
2019-03-06,39.240002,39.290001,38.490002,38.669998,37.109436,9413300
2019-03-07,38.099998,38.340000,37.639999,38.040001,36.867149,8999800
2019-03-08,37.630001,38.040001,37.500000,37.990002,36.818687,6911000
2019-03-11,38.080002,38.790001,38.000000,38.619999,37.429264,12218800
2019-03-12,38.700001,39.029999,38.500000,38.619999,37.429264,6633600
2019-03-13,38.740002,39.029999,38.599998,38.799999,37.603710,7334100
2019-03-14,38.759998,38.820000,37.939999,38.029999,36.857452,8692900
2019-03-15,38.040001,38.290001,37.880001,38.070000,36.896217,16854700
2019-03-18,38.180000,38.240002,37.619999,37.980000,36.808998,7583800
2019-03-19,38.310001,38.750000,38.040001,38.270000,37.090057,9003300
2019-03-20,37.740002,37.939999,36.779999,37.000000,35.859211,11680000
2019-03-21,37.000000,37.380001,36.779999,37.349998,36.198418,8168100
2019-03-22,37.090000,37.299999,36.279999,36.439999,35.316479,10049500
2019-03-25,36.480000,37.029999,36.259998,36.750000,35.616917,6922200
2019-03-26,36.930000,36.980000,36.560001,36.869999,35.733219,6867200
2019-03-27,36.919998,37.240002,36.470001,36.610001,35.481236,7006500
2019-03-28,36.700001,37.230000,36.660000,37.060001,35.917366,5591300
2019-03-29,37.310001,37.400002,36.919998,37.099998,35.956127,9432600
2019-04-01,37.400002,37.820000,37.330002,37.759998,36.595779,7145600
2019-04-02,37.830002,38.009998,37.610001,37.810001,36.644238,5667100
2019-04-03,38.250000,38.639999,38.230000,38.389999,37.206352,9029200
2019-04-04,38.400002,38.939999,38.389999,38.790001,37.594021,7116100
2019-04-05,38.849998,39.009998,38.580002,38.939999,37.739395,4497800
2019-04-08,38.770000,39.090000,38.759998,39.060001,37.855701,5992400
2019-04-09,38.849998,39.080002,38.700001,38.860001,37.661865,6528900
2019-04-10,38.889999,39.419998,38.779999,39.250000,38.039841,5471100
2019-04-11,39.380001,39.590000,39.130001,39.330002,38.117371,4581500
2019-04-12,39.599998,40.049999,39.529999,39.709999,38.485653,4949700
2019-04-15,39.900002,40.009998,39.349998,39.570000,38.349972,5179400
2019-04-16,39.560001,39.910000,39.459999,39.660000,38.437199,5985300
2019-04-17,40.099998,40.259998,39.880001,39.990002,38.757023,8643500
2019-04-18,40.000000,40.450001,39.980000,40.299999,39.057465,10678000
2019-04-22,40.000000,40.099998,39.490002,39.500000,38.282131,7203800
2019-04-23,39.400002,39.840000,39.180000,39.830002,38.601959,9507500
2019-04-24,39.509998,39.889999,39.369999,39.720001,38.495350,5564700
2019-04-25,39.520000,39.720001,38.950001,39.110001,37.904156,8154600
2019-04-26,40.049999,40.099998,39.439999,39.680000,38.456585,11830500
2019-04-29,39.750000,40.279999,39.689999,40.009998,38.776402,9601100
2019-04-30,38.919998,39.470001,38.560001,38.950001,37.749092,16035500
2019-05-01,39.000000,39.200001,38.660000,38.750000,37.555252,8843300
2019-05-02,38.459999,38.840000,38.200001,38.250000,37.070671,11291900
2019-05-03,38.540001,38.900002,38.169998,38.799999,37.603710,7201000
2019-05-06,37.500000,38.169998,37.250000,38.090000,36.915604,7506200
2019-05-07,38.860001,38.889999,38.270000,38.529999,37.342037,11257000
2019-05-08,38.419998,38.779999,38.139999,38.209999,37.031902,7082900
2019-05-09,37.590000,37.669998,37.220001,37.580002,36.421329,8898600
2019-05-10,37.500000,37.980000,37.040001,37.889999,36.721771,6440600
2019-05-13,36.849998,37.119999,36.450001,36.560001,35.432777,19454800
2019-05-14,36.810001,37.389999,36.680000,37.040001,35.897980,6534600
2019-05-15,36.630001,37.560001,36.480000,37.369999,36.217800,8190400
2019-05-16,37.299999,37.619999,37.130001,37.380001,36.227497,5734600
2019-05-17,37.009998,37.360001,36.849998,37.000000,35.859211,7970000
2019-05-20,36.660000,37.000000,36.639999,36.970001,35.830139,17521900
2019-05-21,37.000000,37.240002,36.730000,37.130001,35.985203,8387600
2019-05-22,37.000000,37.049999,35.410000,35.549999,34.453918,13264100
2019-05-23,35.150002,35.180000,34.349998,35.130001,34.046867,13746200
2019-05-24,35.400002,35.419998,34.869999,35.119999,34.037178,5262500
2019-05-28,35.200001,35.340000,34.709999,34.849998,33.775497,7895400
2019-05-29,34.669998,34.849998,34.320000,34.790001,33.717350,12911200
2019-05-30,34.759998,35.090000,34.480000,34.820000,33.746429,8550000
2019-05-31,33.299999,33.700001,33.150002,33.340000,32.312057,15779900
2019-06-03,33.349998,33.830002,33.080002,33.700001,32.660957,11019400
2019-06-04,34.380001,35.770000,34.299999,35.730000,34.628365,12875700
2019-06-05,36.040001,36.139999,35.330002,35.840000,34.734978,9605600
2019-06-06,35.090000,35.439999,34.459999,35.189999,34.470497,9749200
2019-06-07,35.310001,35.549999,35.150002,35.490002,34.764362,6561000
2019-06-10,36.130001,36.509998,35.889999,36.009998,35.273727,8498000
2019-06-11,36.360001,36.580002,36.099998,36.200001,35.459846,4652000
2019-06-12,36.259998,36.259998,35.560001,35.669998,34.940681,5508100
2019-06-13,35.630001,36.049999,35.410000,36.020000,35.283524,3917300
2019-06-14,35.880001,35.990002,35.540001,35.660000,34.930885,4953400
2019-06-17,35.560001,36.180000,35.360001,36.139999,35.401070,5454900
2019-06-18,36.380001,36.779999,36.139999,36.700001,35.949623,8226900
2019-06-19,37.000000,37.470001,36.750000,36.779999,36.027988,10884800
2019-06-20,37.150002,37.310001,36.490002,36.959999,36.204308,8639700
2019-06-21,36.959999,37.099998,36.650002,36.919998,36.165123,13004600
2019-06-24,36.830002,37.119999,36.580002,36.959999,36.204308,7449000
2019-06-25,37.060001,37.880001,36.740002,37.680000,36.909584,12930500
2019-06-26,37.820000,38.500000,37.709999,38.130001,37.350384,11911400
2019-06-27,38.599998,38.990002,38.160000,38.320000,37.536499,8106600
2019-06-28,38.330002,38.919998,38.330002,38.529999,37.742203,11480900
2019-07-01,38.930000,38.990002,38.430000,38.750000,37.957706,10240000
2019-07-02,38.730000,38.750000,38.150002,38.340000,37.556091,6679300
2019-07-03,38.500000,38.689999,37.990002,38.160000,37.379772,4409400
2019-07-05,38.000000,38.520000,37.740002,38.500000,37.712822,4851900
2019-07-08,38.410000,38.639999,38.119999,38.230000,37.448341,5787300
2019-07-09,37.970001,38.169998,37.580002,38.080002,37.301407,6204700
2019-07-10,38.349998,38.470001,37.869999,38.099998,37.320999,5153100
2019-07-11,38.279999,38.580002,38.099998,38.430000,37.644249,4598400
2019-07-12,38.599998,39.410000,38.520000,39.209999,38.408302,7164700
2019-07-15,39.209999,39.360001,38.889999,39.360001,38.555237,5448800
2019-07-16,38.990002,39.700001,38.650002,39.430000,38.623806,8584800
2019-07-17,39.410000,39.459999,38.820000,39.160000,38.359325,5727300
2019-07-18,38.970001,39.279999,38.869999,39.119999,38.320141,5713800
2019-07-19,39.400002,39.820000,39.240002,39.480000,38.672783,8194500
2019-07-22,39.959999,40.369999,39.770000,39.860001,39.045010,6812800
2019-07-23,40.349998,40.919998,40.150002,40.709999,39.877632,12584300
2019-07-24,40.590000,40.910000,40.330002,40.880001,40.044159,7318200
2019-07-25,40.340000,40.820000,40.119999,40.750000,39.916817,8304800
2019-07-26,40.720001,41.000000,40.470001,40.770000,39.936405,5705900
2019-07-29,40.709999,40.880001,40.560001,40.680000,39.848248,5711200
2019-07-30,40.259998,40.560001,39.919998,40.430000,39.603355,5436900
2019-07-31,40.599998,40.720001,40.110001,40.340000,39.515198,10155700
2019-08-01,41.259998,41.900002,39.669998,40.150002,39.329082,18102900
2019-08-02,39.910000,40.230000,39.590000,39.779999,38.966648,9144900
2019-08-05,39.200001,39.279999,38.680000,39.009998,38.212387,9478000
2019-08-06,39.160000,39.310001,38.650002,39.080002,38.280964,7104500
2019-08-07,38.689999,39.500000,38.410000,39.389999,38.584621,7924700
2019-08-08,39.500000,40.200001,39.369999,40.099998,39.280106,6204200
2019-08-09,39.759998,39.860001,39.299999,39.610001,38.800125,6125000
2019-08-12,39.230000,39.310001,38.669998,38.860001,38.065460,4130100
2019-08-13,38.830002,39.630001,38.480000,39.009998,38.212387,6318700
2019-08-14,38.250000,38.279999,37.049999,37.189999,36.429604,9878100
2019-08-15,37.169998,37.240002,36.150002,36.470001,35.724327,7904300
2019-08-16,36.580002,37.099998,36.369999,37.000000,36.243488,7171900
2019-08-19,37.509998,37.599998,37.189999,37.360001,36.596130,3899900
2019-08-20,37.200001,37.290001,36.919998,36.959999,36.204308,4110400
2019-08-21,37.360001,37.360001,37.060001,37.119999,36.361031,3791800
2019-08-22,37.250000,37.509998,37.049999,37.259998,36.498173,4044300
2019-08-23,36.610001,37.180000,35.900002,36.060001,35.322708,7834100
2019-08-26,36.490002,36.610001,36.009998,36.250000,35.508823,4838500
2019-08-27,36.470001,36.580002,35.849998,35.889999,35.156181,6221600
2019-08-28,35.700001,36.570000,35.580002,36.439999,35.694939,7284600
2019-08-29,36.799999,37.020000,36.730000,36.910000,36.155331,5123700
2019-08-30,37.250000,37.340000,36.910000,37.090000,36.331650,4599000
2019-09-03,36.889999,37.009998,36.540001,36.910000,36.155331,6093900
2019-09-04,37.310001,38.320000,37.240002,38.240002,37.458138,8105700
2019-09-05,38.619999,39.540001,38.619999,38.730000,38.318901,10747000
2019-09-06,38.919998,38.930000,38.520000,38.779999,38.368366,5012700
2019-09-09,39.060001,39.779999,38.950001,39.580002,39.159878,7543800
2019-09-10,39.200001,39.680000,38.840000,39.580002,39.159878,7233600
2019-09-11,39.400002,39.540001,38.860001,39.459999,39.041149,6991800
